Codice richiesta,80749
Codice Stazione,S2576
Denominazione,DIGA DEL CHIOTAS
Localita',DIGA DEL CHIOTAS
UTM X,366881 m
UTM Y,4891327 m
Quota,2020 m s.l.m.
Periodo, 2018-01-01 / 2021-12-05
Dati giornalieri di temperatura dell'aria
data,ora minimo (UTC),Tmin (gradi C),classe minimo,Tmed,classe media,ora massimo (UTC),Tmax,classe massimo
05/05/2018 , 06:00 ,     2.4 , 0 ,     3.8 , Z , 21:50 ,     5.4 , 0
06/05/2018 , 02:00 ,     5.0 , 0 ,     5.9 , Z , 15:35 ,     8.0 , 0
07/05/2018 , 07:30 ,     2.4 , 0 ,     6.2 , Z , 12:05 ,    11.6 , 0
08/05/2018 , 03:10 ,     3.9 , * ,     6.7 , Y , 11:20 ,    15.2 , *
09/05/2018 , 03:25 ,     2.6 , 0 ,     5.9 , Z , 12:55 ,    12.4 , 0
10/05/2018 , 02:15 ,     2.1 , 0 ,     6.2 , Z , 11:30 ,    12.7 , 0
11/05/2018 , 23:15 ,     4.6 , 0 ,     6.9 , Z , 10:05 ,    15.1 , 0
12/05/2018 , 03:05 ,     3.7 , 0 ,     6.6 , Z , 10:05 ,    13.9 , 0
13/05/2018 , 23:35 ,    -1.8 , 0 ,     3.1 , Z , 10:00 ,     8.3 , 0
14/05/2018 , 07:55 ,    -2.9 , 0 ,    -1.9 , Z , 14:10 ,    -0.5 , 0
15/05/2018 , 00:30 ,    -2.2 , 0 ,     4.3 , Z , 11:25 ,    14.3 , 0
16/05/2018 , 03:35 ,     1.7 , 0 ,     4.9 , Z , 10:20 ,    12.2 , 0
17/05/2018 , 02:40 ,     1.6 , 0 ,     5.5 , Z , 11:30 ,    12.8 , 0
18/05/2018 , 00:35 ,     3.2 , 0 ,     6.8 , Z , 11:40 ,    14.7 , 0
19/05/2018 , 04:15 ,     3.7 , 0 ,     6.0 , Z , 13:10 ,    13.1 , 0
20/05/2018 , 03:00 ,     2.5 , 0 ,     4.7 , Z , 09:40 ,     8.7 , 0
21/05/2018 , 05:25 ,     2.9 , 0 ,     4.2 , Z , 13:45 ,     7.5 , 0
22/05/2018 , 11:40 ,     2.3 , 0 ,     3.3 , Z , 00:45 ,     4.0 , 0
23/05/2018 , 00:20 ,     3.7 , 0 ,     6.3 , Z , 11:55 ,    13.5 , 0
24/05/2018 , 01:20 ,     3.7 , 0 ,     9.2 , Z , 10:30 ,    16.1 , 0
25/05/2018 , 04:00 ,     6.4 , 0 ,    10.9 , Z , 10:00 ,    16.8 , 0
26/05/2018 , 04:05 ,     7.9 , 0 ,    11.9 , Z , 12:05 ,    19.3 , 0
27/05/2018 , 23:20 ,     6.9 , 0 ,    10.4 , Z , 09:55 ,    17.1 , 0
28/05/2018 , 23:20 ,     4.9 , 0 ,     6.2 , Z , 00:30 ,     7.7 , 0
29/05/2018 , 03:50 ,     4.1 , 0 ,     8.9 , Z , 11:00 ,    15.0 , 0
30/05/2018 , 23:59 ,     5.6 , 0 ,     7.5 , Z , 11:45 ,    11.4 , 0
31/05/2018 , 04:15 ,     4.8 , 0 ,     7.2 , Z , 11:30 ,    13.9 , 0
01/06/2018 , 02:00 ,     5.1 , 0 ,    10.2 , Z , 10:45 ,    16.9 , 0
02/06/2018 , 13:55 ,     7.1 , 0 ,    10.0 , Z , 11:30 ,    19.0 , 0
03/06/2018 , 23:35 ,     6.7 , 0 ,     9.4 , Z , 09:25 ,    17.3 , 0
04/06/2018 , 20:35 ,     5.2 , 0 ,     6.0 , Z , 00:05 ,     6.9 , 0
05/06/2018 , 05:00 ,     5.3 , 0 ,     8.9 , Z , 12:45 ,    14.5 , 0
06/06/2018 , 23:40 ,     6.0 , 0 ,     8.3 , Z , 10:45 ,    11.3 , 0
07/06/2018 , 03:35 ,     5.0 , 0 ,     7.7 , Z , 12:00 ,    13.9 , 0
08/06/2018 , 06:30 ,     4.4 , 0 ,     6.1 , Z , 23:40 ,     8.5 , 0
09/06/2018 , 00:30 ,     7.9 , 0 ,    12.3 , Z , 12:35 ,    17.5 , 0
10/06/2018 , 04:00 ,    12.2 , 0 ,    14.8 , Z , 11:30 ,    17.3 , 0
11/06/2018 , 08:05 ,     8.6 , 0 ,    11.4 , Z , 03:45 ,    13.6 , 0
12/06/2018 , 22:30 ,     6.3 , 0 ,     9.8 , Z , 11:35 ,    14.5 , 0
13/06/2018 , 02:55 ,     4.9 , 0 ,     6.6 , Z , 00:05 ,     8.5 , 0
14/06/2018 , 04:00 ,     6.5 , 0 ,     9.9 , Z , 12:45 ,    14.9 , 0
15/06/2018 , 03:20 ,     7.1 , 0 ,    10.8 , Z , 11:10 ,    16.0 , 0
16/06/2018 , 04:45 ,     7.5 , 0 ,    11.6 , Z , 12:25 ,    18.6 , 0
17/06/2018 , 03:00 ,     7.7 , 0 ,    11.6 , Z , 11:20 ,    17.3 , 0
18/06/2018 , 07:45 ,     7.6 , 0 ,    11.4 , Z , 12:45 ,    17.3 , 0
19/06/2018 , 01:50 ,     9.3 , 0 ,    13.8 , Z , 09:20 ,    19.2 , 0
20/06/2018 , 20:45 ,    10.0 , 0 ,    12.3 , Z , 12:50 ,    16.9 , 0
21/06/2018 , 03:50 ,     9.4 , 0 ,    14.9 , Z , 11:30 ,    20.7 , 0
22/06/2018 , 23:59 ,     8.5 , 0 ,    13.4 , Z , 08:15 ,    18.5 , 0
23/06/2018 , 04:25 ,     5.4 , 0 ,     8.3 , Z , 12:15 ,    10.8 , 0
24/06/2018 , 14:25 ,     5.7 , 0 ,     8.3 , Z , 10:50 ,    13.3 , 0
25/06/2018 , 04:55 ,     7.1 , 0 ,    10.1 , Z , 08:35 ,    14.5 , 0
26/06/2018 , 03:50 ,     7.2 , 0 ,    10.6 , Z , 13:55 ,    14.5 , 0
27/06/2018 , 04:55 ,     8.9 , 0 ,    13.1 , Z , 11:55 ,    17.8 , 0
28/06/2018 , 09:30 ,     6.9 , 0 ,     9.5 , Z , 16:35 ,    13.1 , 0
29/06/2018 , 01:55 ,     9.0 , 0 ,    12.6 , Z , 12:55 ,    18.1 , 0
30/06/2018 , 03:45 ,    10.6 , 0 ,    15.5 , Z , 11:45 ,    20.2 , 0
01/07/2018 , 23:50 ,    12.8 , 0 ,    16.9 , Z , 11:15 ,    22.6 , 0
02/07/2018 , 04:50 ,    11.4 , 0 ,    14.8 , Z , 13:40 ,    19.0 , 0
03/07/2018 , 17:35 ,     9.8 , 0 ,    14.8 , Z , 11:15 ,    20.9 , 0
04/07/2018 , 04:30 ,     9.2 , 0 ,    15.1 , Z , 08:10 ,    19.9 , 0
05/07/2018 , 14:05 ,     7.8 , 0 ,    12.7 , Z , 11:10 ,    16.1 , 0
06/07/2018 , 04:05 ,     8.8 , 0 ,    13.1 , Z , 12:00 ,    18.0 , 0
07/07/2018 , 02:05 ,     9.1 , 0 ,    12.8 , Z , 07:45 ,    18.1 , 0
08/07/2018 , 03:20 ,    10.5 , 0 ,    14.5 , Z , 12:40 ,    19.5 , 0
09/07/2018 , 22:45 ,    10.6 , 0 ,    13.6 , Z , 10:45 ,    17.7 , 0
10/07/2018 , 04:00 ,    10.4 , 0 ,    14.1 , Z , 11:35 ,    18.7 , 0
11/07/2018 , 04:45 ,    10.4 , 0 ,    12.5 , Z , 13:05 ,    16.4 , 0
12/07/2018 , 02:10 ,     9.4 , 0 ,    13.0 , Z , 12:30 ,    16.7 , 0
13/07/2018 , 03:50 ,    10.4 , 0 ,    14.6 , Z , 11:30 ,    18.6 , 0
14/07/2018 , 22:40 ,    11.8 , 0 ,    15.0 , Z , 11:50 ,    18.6 , 0
15/07/2018 , 03:10 ,    12.0 , 0 ,    15.8 , Z , 08:05 ,    19.3 , 0
16/07/2018 , 18:50 ,     8.4 , 0 ,    11.6 , Z , 07:40 ,    16.5 , 0
17/07/2018 , 00:10 ,     9.3 , 0 ,    13.9 , Z , 10:35 ,    18.5 , 0
18/07/2018 , 04:45 ,    11.0 , 0 ,    14.5 , Z , 14:10 ,    18.6 , 0
19/07/2018 , 03:35 ,    11.4 , 0 ,    14.9 , Z , 11:10 ,    20.4 , 0
20/07/2018 , 23:50 ,    10.7 , 0 ,    15.6 , Z , 08:30 ,    20.7 , 0
21/07/2018 , 18:15 ,     8.6 , 0 ,    11.4 , Z , 10:25 ,    16.4 , 0
22/07/2018 , 16:40 ,     7.7 , 0 ,    11.4 , Z , 11:35 ,    17.7 , 0
23/07/2018 , 02:35 ,     9.1 , 0 ,    13.8 , Z , 12:50 ,    18.6 , 0
24/07/2018 , 01:00 ,    11.9 , 0 ,    14.6 , Z , 08:20 ,    17.6 , 0
25/07/2018 , 04:45 ,    12.3 , 0 ,    15.3 , Z , 10:15 ,    20.6 , 0
26/07/2018 , 14:25 ,    10.6 , 0 ,    15.1 , Z , 11:25 ,    21.1 , 0
27/07/2018 , 03:20 ,    10.6 , 0 ,    15.1 , Z , 09:25 ,    20.3 , 0
28/07/2018 , 22:00 ,    12.1 , 0 ,    16.0 , Z , 09:00 ,    20.4 , 0
29/07/2018 , 22:15 ,    13.3 , 0 ,    16.0 , Z , 10:45 ,    19.7 , 0
30/07/2018 , 02:40 ,    14.2 , 0 ,    17.0 , Z , 09:35 ,    23.6 , 0
31/07/2018 , 01:10 ,    13.6 , 0 ,    17.7 , Z , 13:15 ,    23.6 , 0
01/08/2018 , 22:50 ,    14.3 , 0 ,    17.4 , Z , 11:20 ,    22.8 , 0
02/08/2018 , 22:40 ,    13.9 , 0 ,    17.2 , Z , 11:55 ,    22.3 , 0
03/08/2018 , 03:10 ,    12.9 , 0 ,    16.2 , Z , 10:50 ,    21.4 , 0
04/08/2018 , 02:25 ,    13.1 , 0 ,    17.0 , Z , 12:55 ,    22.7 , 0
05/08/2018 , 04:10 ,    12.9 , 0 ,    16.2 , Z , 11:15 ,    24.9 , 0
06/08/2018 , 04:25 ,    13.3 , 0 ,    16.2 , Z , 12:35 ,    22.0 , 0
07/08/2018 , 04:10 ,    10.6 , 0 ,    15.3 , Z , 13:25 ,    20.7 , 0
08/08/2018 , 23:25 ,    11.7 , 0 ,    15.2 , Z , 11:50 ,    20.5 , 0
09/08/2018 , 15:10 ,    10.9 , 0 ,    14.1 , Z , 10:45 ,    18.6 , 0
10/08/2018 , 00:50 ,    11.1 , 0 ,    14.9 , Z , 09:55 ,    18.0 , 0
11/08/2018 , 03:45 ,    10.3 , 0 ,    14.1 , Z , 12:05 ,    18.8 , 0
12/08/2018 , 03:25 ,    11.5 , 0 ,    14.1 , Z , 11:10 ,    18.9 , 0
13/08/2018 , 08:30 ,    10.1 , 0 ,    13.1 , Z , 13:05 ,    16.3 , 0
14/08/2018 , 21:50 ,    10.0 , 0 ,    12.4 , Z , 10:00 ,    18.6 , 0
15/08/2018 , 00:45 ,    10.2 , 0 ,    13.0 , Z , 13:55 ,    17.6 , 0
16/08/2018 , 04:30 ,    10.0 , 0 ,    13.0 , Z , 10:30 ,    17.3 , 0
17/08/2018 , 19:15 ,     9.0 , 0 ,    11.9 , Z , 14:25 ,    16.4 , 0
18/08/2018 , 22:00 ,     9.2 , 0 ,    12.5 , Z , 13:55 ,    17.2 , 0
19/08/2018 , 05:35 ,    10.0 , 0 ,    13.2 , Z , 12:00 ,    17.7 , 0
20/08/2018 , 05:25 ,    11.0 , 0 ,    14.0 , Z , 13:05 ,    19.4 , 0
21/08/2018 , 23:45 ,    11.5 , 0 ,    13.9 , Z , 14:00 ,    18.8 , 0
22/08/2018 , 02:25 ,    11.3 , 0 ,    13.3 , Z , 12:30 ,    17.1 , 0
23/08/2018 , 02:45 ,    11.2 , 0 ,    13.7 , Z , 11:00 ,    19.0 , 0
24/08/2018 , 04:15 ,    10.8 , 0 ,    14.3 , Z , 12:40 ,    19.4 , 0
25/08/2018 , 23:25 ,     7.0 , 0 ,    11.5 , Z , 10:30 ,    15.8 , 0
26/08/2018 , 03:05 ,     5.8 , 0 ,     9.2 , Z , 13:25 ,    14.8 , 0
27/08/2018 , 05:15 ,     6.6 , 0 ,    12.3 , Z , 14:35 ,    19.0 , 0
28/08/2018 , 05:15 ,    11.5 , 0 ,    14.1 , Z , 12:35 ,    18.7 , 0
29/08/2018 , 06:30 ,    10.1 , 0 ,    13.5 , Z , 13:15 ,    18.3 , 0
30/08/2018 , 05:00 ,    10.6 , 0 ,    13.5 , Z , 12:15 ,    18.8 , 0
31/08/2018 , 23:40 ,     6.5 , 0 ,    10.7 , Z , 10:45 ,    15.5 , 0
01/09/2018 , 16:00 ,     4.8 , 0 ,     6.9 , Z , 11:30 ,    11.7 , 0
02/09/2018 , 01:55 ,     6.1 , 0 ,     8.4 , Z , 11:50 ,    13.3 , 0
03/09/2018 , 05:10 ,     6.1 , 0 ,     8.5 , Z , 11:00 ,    11.3 , 0
04/09/2018 , 05:20 ,     7.2 , 0 ,    10.4 , Z , 11:25 ,    15.2 , 0
05/09/2018 , 03:05 ,     8.1 , 0 ,    11.2 , Z , 11:40 ,    16.6 , 0
06/09/2018 , 15:55 ,     7.3 , 0 ,    10.1 , Z , 09:40 ,    14.5 , 0
07/09/2018 , 04:25 ,     7.1 , 0 ,    10.5 , Z , 11:25 ,    15.1 , 0
08/09/2018 , 05:05 ,     7.7 , 0 ,    11.0 , Z , 11:40 ,    15.8 , 0
09/09/2018 , 05:30 ,     8.8 , 0 ,    11.8 , Z , 11:10 ,    16.4 , 0
10/09/2018 , 05:10 ,     8.8 , 0 ,    12.4 , Z , 12:45 ,    18.4 , 0
11/09/2018 , 04:40 ,    11.0 , 0 ,    14.4 , Z , 13:50 ,    19.6 , 0
12/09/2018 , 03:35 ,    10.0 , 0 ,    14.0 , Z , 13:20 ,    18.4 , 0
13/09/2018 , 07:55 ,     9.4 , 0 ,    12.9 , Z , 13:35 ,    17.5 , 0
14/09/2018 , 01:05 ,    10.5 , 0 ,    12.7 , Z , 12:05 ,    18.0 , 0
15/09/2018 , 04:40 ,     9.3 , 0 ,    12.1 , Z , 12:50 ,    17.1 , 0
16/09/2018 , 21:15 ,     9.0 , 0 ,    11.5 , Z , 11:15 ,    15.6 , 0
17/09/2018 , 05:20 ,     8.6 , 0 ,    10.3 , Z , 12:20 ,    14.2 , 0
18/09/2018 , 04:50 ,     7.5 , 0 ,    10.9 , Z , 11:35 ,    15.4 , 0
19/09/2018 , 03:15 ,     8.7 , 0 ,    12.2 , Z , 13:10 ,    17.7 , 0
