specie,colore,n_arti,peso,altezza,larghezza
Robby,blu,28.0,3.87,10.67,94.55
Robby,viola,23.0,3.42,14.88,86.18
Robby,rosso,26.0,3.53,24.83,79.6
Robby,viola,28.0,3.3,18.97,64.49
Robby,viola,24.0,3.39,,86.97
Robby,viola,28.0,2.45,21.29,86.87
Robby,rosso,21.0,3.28,21.91,81.56
Robby,blu,28.0,3.2,14.01,85.76
Robby,blu,28.0,3.46,16.88,63.38
Robby,blu,24.0,4.38,19.3,83.04
Robby,blu,25.0,4.02,16.56,94.49
Robby,blu,27.0,3.45,19.27,89.95
Robby,viola,26.0,4.12,16.09,80.33
Robby,blu,20.0,3.5,20.13,79.28
Robby,rosso,25.0,3.55,20.33,91.08
Robby,viola,23.0,3.02,15.12,87.96
Robby,rosso,23.0,3.84,21.64,96.72
Robby,blu,27.0,3.84,11.75,91.03
Robby,blu,23.0,3.64,9.18,93.85
Robby,blu,28.0,3.7,10.31,84.89
Robby,blu,27.0,3.34,17.46,80.56
Robby,viola,29.0,3.67,20.65,80.58
Robby,blu,29.0,4.14,14.54,80.44
Robby,blu,20.0,3.21,14.21,89.06
Robby,rosso,22.0,2.34,25.49,72.14
Robby,viola,24.0,4.73,21.31,87.02
Robby,blu,21.0,3.31,9.66,79.84
Robby,blu,21.0,3.97,15.66,99.9
Robby,viola,25.0,2.92,15.82,88.98
Robby,rosso,20.0,3.32,20.99,96.0
Robby,rosso,26.0,3.7,10.52,88.29
Robby,viola,23.0,4.1,25.05,86.1
Robby,viola,23.0,2.65,23.39,90.2
Robby,rosso,27.0,4.74,20.34,108.04
Robby,rosso,25.0,3.24,20.07,81.5
Robby,blu,28.0,3.63,22.18,108.54
Robby,blu,28.0,3.32,20.38,82.88
Robby,rosso,26.0,2.66,18.75,75.03
Robby,blu,22.0,3.1,16.06,87.62
Robby,blu,23.0,3.7,12.01,94.09
Robby,viola,24.0,3.61,13.7,102.81
Robby,blu,25.0,3.17,18.51,99.84
Robby,blu,23.0,3.72,20.8,76.47
Robby,blu,25.0,4.03,16.38,75.39
Robby,rosso,24.0,2.77,13.9,79.65
Robby,blu,28.0,3.38,24.26,89.85
Robby,viola,29.0,2.2,13.41,61.83
Robby,rosso,29.0,2.46,15.03,95.24
Robby,rosso,26.0,3.56,11.46,93.73
Robby,rosso,29.0,3.23,11.02,74.24
Robby,rosso,28.0,3.88,15.3,93.89
Robby,rosso,24.0,3.29,17.94,90.92
Robby,viola,28.0,3.8,14.91,103.21
Robby,viola,22.0,3.6,25.71,77.07
Robby,blu,26.0,3.37,21.5,95.32
Robby,blu,23.0,2.96,15.65,77.13
Robby,rosso,23.0,2.98,7.01,101.66
Robby,viola,26.0,2.94,21.52,74.91
Robby,viola,20.0,3.77,19.57,98.81
Robby,viola,26.0,3.77,16.29,64.24
Robby,blu,20.0,3.35,11.67,79.36
Robby,viola,26.0,3.89,24.8,96.65
Robby,rosso,22.0,3.53,20.53,75.45
Robby,viola,22.0,3.32,29.19,92.34
Robby,blu,24.0,2.21,14.66,79.21
Robby,viola,22.0,3.93,13.61,81.0
Robby,rosso,28.0,4.17,21.39,87.23
Robby,blu,28.0,2.87,11.99,78.65
Robby,rosso,20.0,4.14,16.61,72.33
Robby,viola,29.0,3.23,15.78,87.25
Robby,viola,23.0,3.43,22.63,95.28
Robby,rosso,28.0,4.07,15.95,93.14
Robby,rosso,28.0,3.86,14.14,76.2
Robby,viola,23.0,2.38,16.92,88.3
Robby,rosso,22.0,3.82,11.65,90.62
Robby,viola,29.0,3.91,10.41,97.87
Robby,blu,29.0,3.42,12.48,79.38
Robby,viola,20.0,3.46,16.83,93.59
Robby,blu,26.0,3.49,23.19,74.38
Robby,viola,28.0,3.39,14.87,
Robby,rosso,28.0,3.04,23.59,80.66
Robby,blu,21.0,4.1,20.04,106.66
Robby,blu,27.0,3.58,22.39,104.09
Robby,blu,29.0,3.6,16.55,78.24
Robby,blu,22.0,3.57,18.51,67.41
Robby,blu,23.0,2.97,19.73,77.47
Robby,rosso,25.0,4.68,13.12,80.25
Robby,viola,25.0,4.32,22.51,108.54
Robby,rosso,25.0,3.36,13.57,73.61
Robby,blu,27.0,3.13,23.81,89.67
Robby,rosso,27.0,3.39,12.79,85.83
Robby,viola,27.0,3.12,17.36,85.22
Robby,viola,27.0,3.04,18.72,95.56
Robby,viola,27.0,3.56,19.87,91.14
Robby,rosso,28.0,3.61,17.36,69.89
Robby,blu,26.0,3.56,20.04,72.62
Robby,viola,20.0,3.48,12.3,85.11
Robby,blu,21.0,3.72,23.62,91.3
Robby,blu,29.0,3.25,13.78,85.46
Robby,blu,29.0,3.45,17.08,84.58
Robby,blu,26.0,3.16,14.16,91.27
Robby,rosso,27.0,4.33,20.24,87.26
Robby,blu,22.0,3.87,16.95,86.95
Robby,rosso,22.0,3.91,9.94,75.13
Robby,rosso,24.0,3.83,10.57,89.69
Robby,blu,21.0,3.87,20.41,85.15
Robby,blu,21.0,3.99,14.36,77.87
Robby,rosso,20.0,2.29,16.18,90.89
Robby,viola,25.0,3.02,20.3,88.21
Robby,blu,20.0,3.65,12.58,87.25
Robby,rosso,21.0,4.28,19.39,76.03
Robby,blu,28.0,3.21,17.12,98.97
Robby,viola,24.0,4.09,19.79,89.62
Robby,rosso,23.0,3.08,19.69,84.69
Robby,blu,20.0,2.94,20.43,52.16
Robby,blu,23.0,2.55,22.08,83.13
Robby,rosso,28.0,3.48,27.99,90.62
Robby,blu,23.0,3.11,12.81,85.53
Robby,rosso,26.0,3.47,17.18,87.1
Robby,rosso,24.0,3.72,17.14,67.2
Robby,rosso,23.0,3.42,15.02,84.68
Robby,rosso,26.0,4.13,16.38,102.92
Robby,blu,25.0,3.75,21.13,78.24
Robby,viola,22.0,3.94,20.87,86.7
Robby,blu,25.0,3.59,18.45,77.49
Robby,rosso,29.0,3.63,17.11,86.04
Robby,viola,29.0,3.12,15.56,93.76
Robby,blu,24.0,4.27,6.0,70.02
Robby,viola,27.0,2.97,21.92,85.79
Robby,blu,26.0,2.95,21.34,81.41
Robby,rosso,24.0,3.57,20.14,80.27
Robby,viola,22.0,2.41,17.38,75.3
Robby,blu,28.0,3.61,20.13,74.47
Robby,rosso,29.0,2.9,16.38,79.71
Robby,blu,29.0,4.05,19.89,81.81
Robby,rosso,26.0,3.32,21.72,70.51
Robby,rosso,26.0,3.84,19.36,84.89
Robby,rosso,20.0,3.46,19.36,91.01
Robby,blu,29.0,4.21,17.91,68.12
Robby,rosso,24.0,2.77,7.15,78.63
Robby,viola,25.0,3.61,17.56,100.53
Robby,viola,25.0,3.28,17.6,73.24
Robby,blu,24.0,2.97,22.79,95.05
Robby,blu,27.0,3.44,13.69,87.75
Robby,viola,22.0,4.21,24.36,83.89
Robby,blu,22.0,2.92,15.25,108.39
Robby,rosso,20.0,4.08,17.02,87.5
Robby,viola,21.0,3.9,17.05,73.27
Robby,blu,26.0,2.94,15.6,80.82
Robby,rosso,21.0,3.44,4.98,97.52
Robby,viola,28.0,2.51,14.03,88.07
Robby,viola,28.0,3.22,15.87,69.57
Robby,rosso,25.0,4.46,22.3,96.85
Robby,rosso,22.0,3.68,,109.25
Robby,blu,29.0,3.56,13.62,97.5
Robby,blu,25.0,4.63,10.84,81.5
Robby,rosso,22.0,4.15,17.04,75.39
Robby,viola,23.0,3.72,18.45,93.85
Robby,blu,26.0,3.82,14.12,83.11
Robby,rosso,21.0,3.62,15.8,85.99
Robby,blu,25.0,3.47,19.8,71.9
Robby,viola,29.0,3.6,13.59,87.77
Robby,viola,24.0,2.9,16.54,83.56
Robby,rosso,27.0,2.62,13.83,83.56
Robby,rosso,29.0,3.02,12.51,102.94
Robby,rosso,20.0,2.79,14.89,77.49
Robby,blu,24.0,4.0,13.31,89.61
Robby,blu,20.0,3.29,21.63,91.6
Robby,rosso,23.0,5.05,17.16,81.55
Robby,rosso,22.0,3.32,16.21,81.45
Robby,viola,21.0,3.61,16.32,89.48
Robby,rosso,22.0,4.28,21.11,72.1
Robby,blu,23.0,3.13,19.59,90.32
Robby,rosso,24.0,3.53,26.66,70.72
Robby,viola,22.0,2.89,18.91,94.27
Robby,viola,23.0,4.46,15.34,98.51
Robby,rosso,25.0,3.63,28.86,67.93
Robby,rosso,22.0,4.25,19.33,85.08
Robby,blu,20.0,3.48,19.92,100.55
Robby,viola,22.0,3.27,9.98,81.26
Robby,blu,23.0,3.7,20.02,69.04
Robby,viola,22.0,4.18,16.48,95.64
Robby,rosso,28.0,3.28,20.2,82.83
Robby,rosso,22.0,3.62,13.68,90.78
Robby,blu,21.0,4.29,16.13,100.72
Robby,viola,28.0,4.25,14.79,83.14
Robby,blu,22.0,3.5,15.96,84.72
Robby,rosso,27.0,3.53,17.76,97.78
Robby,viola,25.0,4.29,20.85,65.63
Robby,blu,25.0,3.55,17.03,93.38
Robby,viola,29.0,2.21,15.97,96.74
Robby,blu,20.0,3.35,8.0,82.9
Robby,viola,26.0,3.78,14.42,79.59
Robby,rosso,23.0,4.03,17.73,89.93
Robby,rosso,28.0,2.95,18.07,86.81
Robby,rosso,23.0,4.76,24.2,79.59
Robby,blu,21.0,3.58,13.52,84.78
Robby,blu,21.0,3.18,13.05,69.0
Robby,viola,21.0,3.04,20.08,65.27
Robby,blu,29.0,3.33,9.8,81.26
Robby,rosso,23.0,2.79,25.43,77.07
Robby,viola,26.0,3.92,17.31,66.42
Robby,viola,28.0,3.6,20.9,52.9
Robby,viola,29.0,3.8,15.17,87.07
Robby,rosso,23.0,4.36,18.61,65.63
Robby,rosso,23.0,3.95,15.02,87.78
Robby,viola,25.0,3.23,19.04,100.53
Robby,viola,24.0,3.78,20.19,117.45
Robby,blu,23.0,4.06,25.06,69.34
Robby,rosso,23.0,3.19,14.83,73.68
Robby,viola,21.0,3.22,21.9,90.37
Robby,rosso,22.0,3.52,15.82,60.52
Robby,viola,20.0,3.24,13.5,84.32
Robby,blu,22.0,2.52,23.97,78.45
Robby,viola,20.0,3.69,21.97,87.44
Robby,blu,29.0,3.48,15.16,100.02
Robby,rosso,23.0,3.29,15.93,84.9
Robby,rosso,23.0,3.23,18.98,102.12
Robby,blu,29.0,4.11,21.07,75.9
Robby,viola,24.0,3.73,12.96,82.61
Robby,blu,25.0,3.23,16.34,89.26
Robby,viola,20.0,3.69,21.89,95.3
Robby,blu,28.0,3.57,13.51,76.09
Robby,viola,28.0,3.59,22.45,89.58
Robby,blu,27.0,2.83,19.95,94.82
Robby,viola,26.0,3.14,11.32,93.97
Robby,viola,25.0,3.28,12.99,65.63
Robby,viola,20.0,3.08,9.46,86.95
Robby,rosso,21.0,3.27,16.45,81.48
Robby,rosso,23.0,2.61,16.6,76.36
Robby,rosso,29.0,3.31,26.32,94.91
Robby,viola,25.0,3.83,19.46,92.01
Robby,blu,24.0,3.29,14.35,68.87
Robby,viola,26.0,3.63,19.83,59.64
Robby,viola,22.0,4.2,21.19,89.69
Robby,viola,27.0,3.03,12.43,93.48
Robby,rosso,29.0,2.59,16.9,81.22
Robby,rosso,24.0,3.71,16.23,110.9
Robby,rosso,21.0,3.84,17.01,70.98
Robby,viola,28.0,2.65,13.78,85.34
Robby,blu,23.0,3.68,18.76,73.63
Robby,blu,28.0,3.32,22.84,93.53
Robby,viola,29.0,4.18,15.16,87.68
Robby,viola,23.0,3.93,9.56,106.75
Robby,rosso,23.0,3.73,13.67,92.19
Robby,viola,28.0,3.78,19.43,81.51
Robby,rosso,26.0,2.88,11.68,54.19
Robby,rosso,22.0,3.1,24.1,102.78
Robby,rosso,28.0,3.5,13.71,99.74
Robby,viola,23.0,2.98,22.85,82.67
Robby,blu,23.0,3.52,21.29,99.75
Robby,rosso,26.0,3.41,12.09,81.44
Robby,blu,20.0,4.24,19.46,85.54
Robby,viola,26.0,4.64,21.79,77.92
Robby,viola,24.0,3.6,13.91,102.03
Robby,blu,28.0,3.81,20.65,86.95
Robby,blu,23.0,4.0,11.45,102.17
Robby,rosso,23.0,3.23,13.4,82.25
Robby,rosso,29.0,3.38,15.73,86.79
Robby,viola,23.0,3.88,19.6,82.7
Robby,blu,20.0,3.63,18.94,76.42
Robby,viola,23.0,2.92,12.84,95.78
Robby,viola,20.0,3.25,11.5,60.18
Robby,rosso,22.0,3.46,18.19,96.15
Robby,blu,25.0,3.6,13.47,103.02
Robby,blu,20.0,3.53,18.43,94.49
Robby,blu,20.0,4.01,16.45,71.28
Robby,blu,24.0,2.8,13.66,78.69
Robby,blu,20.0,3.3,22.01,98.16
Robby,rosso,23.0,3.19,20.01,84.32
Robby,viola,25.0,4.25,18.71,84.95
Robby,rosso,28.0,3.5,25.57,79.84
Robby,viola,28.0,3.17,16.12,82.45
Robby,rosso,23.0,3.5,15.05,102.52
Robby,viola,26.0,2.97,13.21,89.46
Robby,blu,27.0,3.6,13.3,88.41
Robby,blu,25.0,3.57,14.65,79.11
Robby,viola,21.0,3.1,23.77,75.54
Robby,viola,29.0,3.21,19.68,94.36
Robby,rosso,26.0,2.54,18.54,98.79
Robby,viola,24.0,3.87,18.29,85.12
Robby,rosso,20.0,2.92,11.02,88.72
Robby,blu,27.0,4.37,21.56,86.57
Robby,rosso,28.0,3.51,14.06,91.07
Robby,blu,22.0,2.96,17.95,79.45
Robby,viola,27.0,2.63,19.23,79.22
Robby,viola,29.0,3.66,25.84,88.58
Robby,rosso,24.0,3.05,19.42,100.18
Robby,rosso,29.0,3.56,18.6,77.43
Robby,blu,24.0,4.15,16.42,85.33
Robby,viola,23.0,3.48,17.22,83.43
Robby,rosso,20.0,3.29,21.63,82.25
Robby,rosso,27.0,2.98,16.9,74.32
Robby,viola,23.0,3.14,21.05,84.01
Robby,rosso,29.0,3.53,16.65,80.6
Robby,blu,29.0,4.27,17.08,81.39
Robby,blu,24.0,2.78,21.38,98.69
Robby,blu,21.0,3.24,12.52,98.59
Robby,viola,29.0,3.37,20.39,88.27
Robby,rosso,27.0,3.84,16.75,79.03
Robby,rosso,28.0,3.66,28.7,79.34
Robby,viola,26.0,3.01,21.95,74.95
Robby,rosso,25.0,3.89,19.64,87.43
Robby,rosso,29.0,3.71,3.17,90.21
Robby,viola,26.0,3.39,15.35,71.62
Robby,viola,20.0,3.68,14.96,67.53
Robby,blu,26.0,4.07,16.25,90.47
Robby,rosso,29.0,3.39,12.53,85.74
Robby,viola,21.0,4.67,16.88,82.34
Robby,rosso,28.0,3.02,15.72,95.16
Robby,viola,24.0,4.06,23.61,94.72
Robby,rosso,29.0,4.44,19.94,89.21
Robby,rosso,24.0,2.99,17.65,85.75
Robby,rosso,20.0,3.75,17.99,75.97
Robby,viola,22.0,3.76,22.95,86.13
Robby,rosso,28.0,2.65,11.82,83.14
Robby,viola,28.0,2.54,17.58,84.79
Robby,blu,20.0,4.25,17.1,95.27
Robby,rosso,29.0,4.13,23.34,86.75
Robby,blu,27.0,3.29,27.4,110.87
Robby,rosso,28.0,3.55,17.36,93.87
Robby,blu,24.0,2.83,24.95,106.82
Robby,viola,23.0,3.47,18.22,113.86
Robby,blu,22.0,3.06,15.2,68.16
Robby,blu,29.0,4.08,19.83,87.73
Robby,viola,23.0,3.33,20.71,78.95
Robby,blu,21.0,3.23,23.43,80.19
Robby,viola,28.0,3.58,12.48,61.88
Robby,rosso,24.0,2.7,12.09,83.96
Robby,blu,20.0,4.94,19.77,65.39
Robby,blu,21.0,3.48,17.95,67.54
Robby,blu,20.0,3.11,14.97,102.26
Robby,blu,24.0,2.61,19.29,78.39
Robby,rosso,20.0,3.58,16.62,70.59
Robby,blu,22.0,3.79,20.7,82.17
Robby,viola,23.0,3.26,20.65,103.03
Robby,rosso,25.0,3.54,16.71,66.73
Robby,blu,26.0,3.47,27.36,82.28
Robby,viola,22.0,4.45,17.96,96.0
Robby,blu,29.0,2.98,23.33,97.79
Robby,rosso,22.0,3.62,19.04,67.92
Robby,rosso,26.0,3.68,16.8,71.17
Robby,viola,27.0,3.47,11.94,92.76
Robby,blu,25.0,3.93,16.98,84.4
Robby,blu,20.0,4.11,16.75,105.4
Robby,viola,26.0,3.97,18.27,87.17
Robby,blu,27.0,2.52,15.79,98.53
Robby,rosso,21.0,3.44,18.67,111.31
Robby,,20.0,3.26,18.85,96.48
Robby,viola,22.0,4.03,20.98,81.12
Robby,blu,23.0,3.36,17.03,64.71
Robby,blu,22.0,3.75,22.36,91.47
Robby,viola,20.0,3.01,14.71,89.34
Robby,viola,24.0,3.95,26.55,102.27
Robby,rosso,26.0,4.73,17.88,79.97
Robby,rosso,29.0,3.48,16.25,89.27
Robby,blu,25.0,3.84,14.9,86.18
Robby,blu,23.0,3.56,16.55,91.69
Robby,blu,26.0,4.08,15.5,109.02
Robby,blu,22.0,3.87,11.79,84.69
Robby,viola,22.0,2.8,21.42,82.48
Robby,blu,24.0,3.7,18.31,95.45
Robby,viola,26.0,3.64,12.33,78.25
Robby,rosso,28.0,3.7,16.71,96.19
Robby,rosso,26.0,3.28,13.27,82.34
Robby,rosso,29.0,3.1,15.19,79.47
Robby,viola,29.0,4.07,19.04,93.57
Robby,viola,26.0,3.77,17.72,107.27
Robby,blu,24.0,3.56,19.63,84.63
Robby,rosso,21.0,3.78,20.92,92.42
Robby,rosso,26.0,2.93,17.17,72.23
Robby,rosso,29.0,3.41,24.68,73.07
Robby,rosso,29.0,3.22,17.46,82.72
Robby,blu,29.0,3.45,21.63,86.66
Robby,viola,20.0,3.77,14.27,89.79
Robby,viola,23.0,4.48,15.73,73.34
Robby,rosso,26.0,2.58,23.19,72.37
Robby,viola,29.0,2.61,17.59,85.5
Robby,viola,22.0,3.25,19.52,83.27
Robby,blu,25.0,3.31,17.6,86.11
Robby,blu,24.0,3.41,17.09,78.79
Robby,blu,29.0,4.17,17.23,110.91
Robby,rosso,26.0,2.7,14.36,81.87
Robby,blu,26.0,3.3,15.73,82.19
Robby,viola,20.0,2.94,12.99,75.44
Robby,viola,28.0,3.04,13.5,91.43
Robby,rosso,25.0,3.71,16.86,72.92
Robby,rosso,25.0,3.18,20.8,76.06
Robby,blu,26.0,3.78,15.73,92.31
Robby,blu,22.0,3.6,18.58,68.3
Robby,viola,28.0,3.25,12.9,93.8
Robby,rosso,21.0,3.5,11.46,89.76
Robby,blu,22.0,4.44,24.7,85.54
Robby,rosso,23.0,3.4,11.67,90.64
Robby,viola,28.0,3.46,17.67,76.14
Robby,rosso,21.0,3.27,25.2,69.57
Robby,rosso,23.0,3.83,24.53,87.62
Robby,blu,20.0,3.8,18.92,89.43
Robby,rosso,22.0,3.67,20.43,68.34
Robby,blu,24.0,3.29,13.28,70.38
Robby,blu,23.0,3.76,16.13,80.13
Robby,blu,23.0,3.22,18.79,72.81
Robby,rosso,25.0,3.05,20.98,80.92
Robby,blu,21.0,3.32,23.05,75.31
Robby,blu,22.0,3.79,20.34,83.39
Robby,rosso,22.0,3.63,17.78,97.35
Robby,viola,22.0,2.91,18.53,99.6
Robby,rosso,20.0,2.13,16.91,73.29
Robby,viola,21.0,2.84,14.4,83.89
Robby,blu,22.0,3.84,16.0,68.46
Robby,rosso,20.0,3.6,16.88,85.0
Robby,rosso,27.0,3.93,25.37,95.3
Robby,blu,25.0,2.39,18.15,85.92
Robby,blu,26.0,2.74,15.1,101.71
Robby,viola,28.0,2.27,21.88,67.56
Robby,blu,26.0,3.48,19.54,84.73
Robby,viola,25.0,3.8,15.15,93.84
Robby,blu,21.0,4.38,22.93,64.83
Robby,viola,24.0,3.58,19.71,67.23
Robby,rosso,22.0,2.86,23.39,103.09
Robby,viola,27.0,3.23,20.26,100.6
Robby,blu,26.0,3.69,20.42,90.46
Robby,rosso,27.0,3.26,21.86,97.37
Robby,blu,27.0,3.92,17.78,83.77
Robby,rosso,24.0,3.32,16.76,104.14
Robby,viola,27.0,3.75,16.46,80.1
Robby,viola,21.0,3.16,12.64,77.97
Robby,viola,29.0,3.05,20.34,76.17
Robby,rosso,20.0,3.96,18.64,74.4
Robby,rosso,22.0,3.58,17.6,104.74
Robby,rosso,22.0,3.55,15.04,84.93
Robby,viola,27.0,2.84,16.54,84.47
Robby,viola,28.0,3.9,20.16,72.92
Robby,viola,25.0,3.25,20.67,73.97
Robby,blu,28.0,3.47,24.47,76.49
Robby,viola,21.0,3.49,22.51,72.44
Robby,viola,23.0,3.17,15.96,92.97
Robby,viola,29.0,3.69,22.84,92.4
Robby,blu,23.0,3.69,22.99,59.45
Robby,blu,22.0,3.81,17.6,96.25
Robby,rosso,28.0,3.98,17.03,106.66
Robby,rosso,20.0,4.42,23.41,92.7
Robby,rosso,24.0,3.72,15.8,102.13
Robby,rosso,20.0,3.42,23.7,86.25
Robby,viola,24.0,3.24,20.79,87.78
Robby,viola,28.0,3.13,8.33,88.32
Robby,blu,29.0,3.3,18.19,79.92
Robby,rosso,29.0,3.66,18.49,86.79
Robby,viola,21.0,3.77,15.49,70.16
Robby,viola,27.0,3.79,19.25,78.6
Robby,rosso,28.0,3.78,13.34,96.67
Robby,blu,25.0,4.85,12.73,78.67
Robby,blu,29.0,2.89,16.85,84.17
Robby,blu,28.0,3.78,9.02,82.15
Robby,viola,29.0,4.16,14.27,79.76
Robby,rosso,22.0,3.63,15.68,90.76
Robby,rosso,22.0,4.19,11.11,81.0
Robby,viola,23.0,3.25,19.98,85.69
Robby,rosso,20.0,3.17,23.55,82.6
Robby,rosso,26.0,3.08,14.88,97.05
Robby,blu,24.0,3.94,23.58,55.92
Robby,blu,28.0,3.13,15.13,83.85
Robby,blu,21.0,3.36,24.39,86.88
Robby,rosso,26.0,3.76,18.33,86.07
Robby,viola,28.0,2.85,20.7,70.59
Robby,blu,28.0,2.84,13.76,91.71
Robby,blu,20.0,3.78,19.86,94.81
Robby,blu,26.0,3.04,18.74,86.49
Robby,blu,25.0,2.87,14.78,54.3
Robby,viola,27.0,4.77,16.49,84.23
Robby,viola,24.0,3.24,18.88,97.26
Robby,rosso,25.0,3.27,15.0,79.57
Robby,rosso,28.0,4.06,12.52,102.25
Robby,rosso,20.0,3.37,20.51,93.82
Robby,blu,20.0,2.9,16.52,80.98
Robby,rosso,24.0,3.48,10.09,77.06
Robby,rosso,25.0,3.09,17.45,77.91
Robby,blu,26.0,3.02,21.61,83.37
Robby,rosso,29.0,3.1,14.92,84.58
Robby,rosso,25.0,2.97,22.73,102.93
Robby,viola,22.0,3.81,18.85,75.83
Robby,rosso,24.0,2.86,19.67,85.11
Robby,viola,24.0,4.05,19.65,70.38
Robby,blu,24.0,3.34,11.45,68.1
Robby,rosso,27.0,3.77,27.94,98.0
Robby,rosso,27.0,2.92,21.65,100.08
Robby,rosso,25.0,3.8,8.52,89.62
Robby,rosso,25.0,3.54,18.21,77.56
Robby,blu,29.0,2.91,14.96,84.66
Robby,viola,29.0,3.36,21.68,91.1
Robby,blu,25.0,3.25,14.94,81.95
Robby,blu,21.0,2.74,15.7,75.02
Robby,blu,28.0,4.04,17.51,106.82
Robby,blu,25.0,3.46,12.45,84.22
Robby,blu,28.0,3.75,20.28,92.67
Robby,viola,26.0,2.68,17.53,71.79
Robby,rosso,29.0,3.06,17.33,83.14
Robby,viola,29.0,3.5,15.59,92.84
Robby,rosso,29.0,3.04,15.55,77.63
Robby,rosso,28.0,3.41,18.06,96.26
Robby,rosso,28.0,3.42,20.4,111.9
Robby,rosso,26.0,4.29,9.45,82.41
Robby,blu,20.0,2.91,14.31,61.02
Robby,blu,21.0,3.35,21.13,74.05
Robby,rosso,29.0,3.13,14.83,67.06
Robby,rosso,28.0,3.17,12.02,76.47
Robby,blu,24.0,3.72,12.32,65.36
Robby,blu,23.0,3.74,14.01,81.76
Robby,rosso,29.0,3.24,16.75,90.51
Robby,rosso,27.0,3.62,17.64,108.9
Robby,blu,26.0,3.38,24.2,93.08
Robby,viola,28.0,3.9,25.98,109.28
Robby,viola,23.0,4.29,18.65,83.34
Robby,viola,21.0,2.82,13.99,88.75
Robby,rosso,26.0,3.25,20.89,81.2
Robby,rosso,25.0,4.07,12.28,90.06
Robby,viola,27.0,3.64,17.21,73.51
Robby,viola,24.0,3.31,12.16,107.62
Robby,blu,28.0,3.47,9.47,70.96
Robby,viola,25.0,3.2,26.41,96.56
Robby,viola,20.0,3.04,19.11,60.45
Robby,viola,29.0,2.31,20.61,97.87
Robby,blu,26.0,3.43,15.19,87.79
