AnnoS;CorsoTIPO;ClasseNUMERO;ClasseNOME;SESSO;Lau
2020;Laurea  - dm 509/99;15;Scienze politiche e delle relazioni internazionali;F;23
2020;Laurea  - dm 509/99;15;Scienze politiche e delle relazioni internazionali;M;27
2020;Laurea  - dm 509/99;16;Scienze della Terra;F;1
2020;Laurea  - dm 509/99;16;Scienze della Terra;M;4
2020;Laurea  - dm 509/99;17;Scienze dell'economia e della gestione aziendale;F;80
2020;Laurea  - dm 509/99;17;Scienze dell'economia e della gestione aziendale;M;108
2020;Laurea  - dm 509/99;18;Scienze dell'educazione e della formazione;F;107
2020;Laurea  - dm 509/99;18;Scienze dell'educazione e della formazione;M;15
2020;Laurea  - dm 509/99;19;Scienze dell'amministrazione;F;13
2020;Laurea  - dm 509/99;19;Scienze dell'amministrazione;M;15
2020;Laurea  - dm 509/99;20;Scienze e tecnologie agrarie, agroalimentari e forestali;F;17
2020;Laurea  - dm 509/99;20;Scienze e tecnologie agrarie, agroalimentari e forestali;M;22
2020;Laurea  - dm 509/99;21;Scienze e tecnologie chimiche;F;7
2020;Laurea  - dm 509/99;21;Scienze e tecnologie chimiche;M;5
2020;Laurea  - dm 509/99;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;F;6
2020;Laurea  - dm 509/99;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;M;5
2020;Laurea  - dm 509/99;24;Scienze e tecnologie farmaceutiche;F;27
2020;Laurea  - dm 509/99;24;Scienze e tecnologie farmaceutiche;M;8
2020;Laurea  - dm 509/99;25;Scienze e tecnologie fisiche;F;6
2020;Laurea  - dm 509/99;25;Scienze e tecnologie fisiche;M;6
2020;Laurea  - dm 509/99;26;Scienze e tecnologie informatiche;F;8
2020;Laurea  - dm 509/99;26;Scienze e tecnologie informatiche;M;35
2020;Laurea  - dm 509/99;27;Scienze e tecnologie per l'ambiente e la natura;F;6
2020;Laurea  - dm 509/99;27;Scienze e tecnologie per l'ambiente e la natura;M;2
2020;Laurea  - dm 509/99;28;Scienze economiche;F;34
2020;Laurea  - dm 509/99;28;Scienze economiche;M;38
2020;Laurea  - dm 509/99;29;Filosofia;F;12
2020;Laurea  - dm 509/99;29;Filosofia;M;8
2020;Laurea  - dm 509/99;30;Scienze geografiche;F;3
2020;Laurea  - dm 509/99;31;Scienze giuridiche;F;24
2020;Laurea  - dm 509/99;31;Scienze giuridiche;M;22
2020;Laurea  - dm 509/99;32;Scienze matematiche;F;8
2020;Laurea  - dm 509/99;32;Scienze matematiche;M;12
2020;Laurea  - dm 509/99;33;Scienze delle attivita motorie e sportive;F;13
2020;Laurea  - dm 509/99;33;Scienze delle attivita motorie e sportive;M;32
2020;Laurea  - dm 509/99;34;Scienze e tecniche psicologiche;F;42
2020;Laurea  - dm 509/99;34;Scienze e tecniche psicologiche;M;8
2020;Laurea  - dm 509/99;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;3
2020;Laurea  - dm 509/99;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;1
2020;Laurea  - dm 509/99;36;Scienze sociologiche;F;17
2020;Laurea  - dm 509/99;36;Scienze sociologiche;M;7
2020;Laurea  - dm 509/99;37;Scienze statistiche;F;1
2020;Laurea  - dm 509/99;37;Scienze statistiche;M;2
2020;Laurea  - dm 509/99;38;Scienze storiche;F;5
2020;Laurea  - dm 509/99;38;Scienze storiche;M;14
2020;Laurea  - dm 509/99;39;Scienze del turismo;F;13
2020;Laurea  - dm 509/99;40;Scienze e tecnologie zootecniche e delle produzioni animali;F;7
2020;Laurea  - dm 509/99;40;Scienze e tecnologie zootecniche e delle produzioni animali;M;1
2020;Laurea  - dm 509/99;41;Tecnologie per la conservazione e il restauro dei beni culturali;F;1
2020;Laurea  - dm 509/99;41;Tecnologie per la conservazione e il restauro dei beni culturali;M;1
2020;Laurea  - dm 509/99;42;Disegno industriale;M;7
2020;Laurea  - dm 509/99;DS1;Scienze della difesa e della sicurezza;F;7
2020;Laurea  - dm 509/99;DS1;Scienze della difesa e della sicurezza;M;10
2020;Laurea  - dm 509/99;SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;15
2020;Laurea  - dm 509/99;SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;16
2020;Laurea  - dm 509/99;SNT2;Professioni sanitarie della riabilitazione;F;6
2020;Laurea  - dm 509/99;SNT2;Professioni sanitarie della riabilitazione;M;4
2020;Laurea  - dm 509/99;SNT3;Professioni sanitarie tecniche;F;3
2020;Laurea  - dm 509/99;SNT3;Professioni sanitarie tecniche;M;3
2020;Laurea  - dm 509/99;SNT4;Professioni sanitarie della prevenzione;F;3
2020;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;F;75
2020;Laurea - dm 270/04;L/DS;Scienze della difesa e della sicurezza;M;260
2020;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;8077
2020;Laurea - dm 270/04;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;2412
2020;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;F;2338
2020;Laurea - dm 270/04;L/SNT2;Professioni sanitarie della riabilitazione;M;1294
2020;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;F;1591
2020;Laurea - dm 270/04;L/SNT3;Professioni sanitarie tecniche;M;825
2020;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;F;331
2020;Laurea - dm 270/04;L/SNT4;Professioni sanitarie della prevenzione;M;251
2020;Laurea - dm 270/04;L-01;Beni culturali;F;2464
2020;Laurea - dm 270/04;L-01;Beni culturali;M;692
2020;Laurea - dm 270/04;L-02;Biotecnologie;F;2171
2020;Laurea - dm 270/04;L-02;Biotecnologie;M;997
2020;Laurea - dm 270/04;L-03;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;1221
2020;Laurea - dm 270/04;L-03;Discipline delle arti figurative, della musica, dello spettacolo e della moda;M;543
2020;Laurea - dm 270/04;L-04;Disegno industriale;F;1445
2020;Laurea - dm 270/04;L-04;Disegno industriale;M;946
2020;Laurea - dm 270/04;L-05;Filosofia;F;1144
2020;Laurea - dm 270/04;L-05;Filosofia;M;1143
2020;Laurea - dm 270/04;L-06;Geografia;F;57
2020;Laurea - dm 270/04;L-06;Geografia;M;45
2020;Laurea - dm 270/04;L-07;Ingegneria civile e ambientale;F;1057
2020;Laurea - dm 270/04;L-07;Ingegneria civile e ambientale;M;2541
2020;Laurea - dm 270/04;L-08;Ingegneria dell'informazione;F;2105
2020;Laurea - dm 270/04;L-08;Ingegneria dell'informazione;M;6932
2020;Laurea - dm 270/04;L-09;Ingegneria industriale;F;3875
2020;Laurea - dm 270/04;L-09;Ingegneria industriale;M;11008
2020;Laurea - dm 270/04;L-10;Lettere;F;3890
2020;Laurea - dm 270/04;L-10;Lettere;M;1453
2020;Laurea - dm 270/04;L-11;Lingue e culture moderne;F;7244
2020;Laurea - dm 270/04;L-11;Lingue e culture moderne;M;1452
2020;Laurea - dm 270/04;L-12;Mediazione linguistica;F;5828
2020;Laurea - dm 270/04;L-12;Mediazione linguistica;M;1021
2020;Laurea - dm 270/04;L-13;Scienze biologiche;F;3345
2020;Laurea - dm 270/04;L-13;Scienze biologiche;M;1063
2020;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;F;2223
2020;Laurea - dm 270/04;L-14;Scienze dei servizi giuridici;M;2032
2020;Laurea - dm 270/04;L-15;Scienze del turismo;F;1395
2020;Laurea - dm 270/04;L-15;Scienze del turismo;M;422
2020;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;F;736
2020;Laurea - dm 270/04;L-16;Scienze dell'amministrazione e dell'organizzazione;M;638
2020;Laurea - dm 270/04;L-17;Scienze dell'architettura;F;1506
2020;Laurea - dm 270/04;L-17;Scienze dell'architettura;M;1064
2020;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;F;11934
2020;Laurea - dm 270/04;L-18;Scienze dell'economia e della gestione aziendale;M;14692
2020;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;F;9492
2020;Laurea - dm 270/04;L-19;Scienze dell'educazione e della formazione;M;885
2020;Laurea - dm 270/04;L-20;Scienze della comunicazione;F;5196
2020;Laurea - dm 270/04;L-20;Scienze della comunicazione;M;2444
2020;Laurea - dm 270/04;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;F;129
2020;Laurea - dm 270/04;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;M;188
2020;Laurea - dm 270/04;L-22;Scienze delle attività motorie e sportive;F;2507
2020;Laurea - dm 270/04;L-22;Scienze delle attività motorie e sportive;M;5302
2020;Laurea - dm 270/04;L-23;Scienze e tecniche dell'edilizia;F;242
2020;Laurea - dm 270/04;L-23;Scienze e tecniche dell'edilizia;M;369
2020;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;F;6984
2020;Laurea - dm 270/04;L-24;Scienze e tecniche psicologiche;M;1648
2020;Laurea - dm 270/04;L-25;Scienze e tecnologie agrarie e forestali;F;743
2020;Laurea - dm 270/04;L-25;Scienze e tecnologie agrarie e forestali;M;1606
2020;Laurea - dm 270/04;L-26;Scienze e tecnologie alimentari;F;1272
2020;Laurea - dm 270/04;L-26;Scienze e tecnologie alimentari;M;977
2020;Laurea - dm 270/04;L-27;Scienze e tecnologie chimiche;F;995
2020;Laurea - dm 270/04;L-27;Scienze e tecnologie chimiche;M;1104
2020;Laurea - dm 270/04;L-28;Scienze e tecnologie della navigazione;F;32
2020;Laurea - dm 270/04;L-28;Scienze e tecnologie della navigazione;M;208
2020;Laurea - dm 270/04;L-29;Scienze e tecnologie farmaceutiche;F;739
2020;Laurea - dm 270/04;L-29;Scienze e tecnologie farmaceutiche;M;192
2020;Laurea - dm 270/04;L-30;Scienze e tecnologie fisiche;F;660
2020;Laurea - dm 270/04;L-30;Scienze e tecnologie fisiche;M;1451
2020;Laurea - dm 270/04;L-31;Scienze e tecnologie informatiche;F;506
2020;Laurea - dm 270/04;L-31;Scienze e tecnologie informatiche;M;3019
2020;Laurea - dm 270/04;L-32;Scienze e tecnologie per l'ambiente e la natura;F;717
2020;Laurea - dm 270/04;L-32;Scienze e tecnologie per l'ambiente e la natura;M;593
2020;Laurea - dm 270/04;L-33;Scienze economiche;F;3323
2020;Laurea - dm 270/04;L-33;Scienze economiche;M;4288
2020;Laurea - dm 270/04;L-34;Scienze geologiche;F;241
2020;Laurea - dm 270/04;L-34;Scienze geologiche;M;435
2020;Laurea - dm 270/04;L-35;Scienze matematiche;F;762
2020;Laurea - dm 270/04;L-35;Scienze matematiche;M;755
2020;Laurea - dm 270/04;L-36;Scienze politiche e delle relazioni internazionali;F;3475
2020;Laurea - dm 270/04;L-36;Scienze politiche e delle relazioni internazionali;M;2916
2020;Laurea - dm 270/04;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;270
2020;Laurea - dm 270/04;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;165
2020;Laurea - dm 270/04;L-38;Scienze zootecniche e tecnologie delle produzioni animali;F;548
2020;Laurea - dm 270/04;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;230
2020;Laurea - dm 270/04;L-39;Servizio sociale;F;2168
2020;Laurea - dm 270/04;L-39;Servizio sociale;M;206
2020;Laurea - dm 270/04;L-40;Sociologia;F;1269
2020;Laurea - dm 270/04;L-40;Sociologia;M;444
2020;Laurea - dm 270/04;L-41;Statistica;F;271
2020;Laurea - dm 270/04;L-41;Statistica;M;409
2020;Laurea - dm 270/04;L-42;Storia;F;439
2020;Laurea - dm 270/04;L-42;Storia;M;772
2020;Laurea - dm 270/04;L-43;Diagnostica per la conservazione dei beni culturali;F;76
2020;Laurea - dm 270/04;L-43;Diagnostica per la conservazione dei beni culturali;M;25
2020;Laurea Magistrale - dm 270/04;LM/DS;Scienze della difesa e della sicurezza;F;41
2020;Laurea Magistrale - dm 270/04;LM/DS;Scienze della difesa e della sicurezza;M;221
2020;Laurea Magistrale - dm 270/04;LM/GASTR;Scienze economiche  e sociali della gastronomia;F;13
2020;Laurea Magistrale - dm 270/04;LM/GASTR;Scienze economiche  e sociali della gastronomia;M;9
2020;Laurea Magistrale - dm 270/04;LM/SNT1;Scienze infermieristiche e ostetriche;F;728
2020;Laurea Magistrale - dm 270/04;LM/SNT1;Scienze infermieristiche e ostetriche;M;250
2020;Laurea Magistrale - dm 270/04;LM/SNT2;Scienze riabilitative delle professioni sanitarie;F;354
2020;Laurea Magistrale - dm 270/04;LM/SNT2;Scienze riabilitative delle professioni sanitarie;M;121
2020;Laurea Magistrale - dm 270/04;LM/SNT3;Scienze delle professioni sanitarie tecniche;F;159
2020;Laurea Magistrale - dm 270/04;LM/SNT3;Scienze delle professioni sanitarie tecniche;M;110
2020;Laurea Magistrale - dm 270/04;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;F;80
2020;Laurea Magistrale - dm 270/04;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;M;64
2020;Laurea Magistrale - dm 270/04;LM-01;Antropologia culturale ed etnologia;F;213
2020;Laurea Magistrale - dm 270/04;LM-01;Antropologia culturale ed etnologia;M;103
2020;Laurea Magistrale - dm 270/04;LM-02;Archeologia;F;468
2020;Laurea Magistrale - dm 270/04;LM-02;Archeologia;M;216
2020;Laurea Magistrale - dm 270/04;LM-03;Architettura del paesaggio;F;105
2020;Laurea Magistrale - dm 270/04;LM-03;Architettura del paesaggio;M;48
2020;Laurea Magistrale - dm 270/04;LM-04;Architettura e ingegneria edile-architettura;F;1506
2020;Laurea Magistrale - dm 270/04;LM-04;Architettura e ingegneria edile-architettura;M;1096
2020;Laurea Magistrale - dm 270/04;LM-05;Archivistica e biblioteconomia;F;83
2020;Laurea Magistrale - dm 270/04;LM-05;Archivistica e biblioteconomia;M;23
2020;Laurea Magistrale - dm 270/04;LM-06;Biologia;F;2230
2020;Laurea Magistrale - dm 270/04;LM-06;Biologia;M;807
2020;Laurea Magistrale - dm 270/04;LM-07;Biotecnologie agrarie;F;87
2020;Laurea Magistrale - dm 270/04;LM-07;Biotecnologie agrarie;M;83
2020;Laurea Magistrale - dm 270/04;LM-08;Biotecnologie industriali;F;283
2020;Laurea Magistrale - dm 270/04;LM-08;Biotecnologie industriali;M;196
2020;Laurea Magistrale - dm 270/04;LM-09;Biotecnologie mediche, veterinarie e farmaceutiche;F;1040
2020;Laurea Magistrale - dm 270/04;LM-09;Biotecnologie mediche, veterinarie e farmaceutiche;M;403
2020;Laurea Magistrale - dm 270/04;LM-11;Scienze per la conservazione dei beni culturali;F;91
2020;Laurea Magistrale - dm 270/04;LM-11;Scienze per la conservazione dei beni culturali;M;19
2020;Laurea Magistrale - dm 270/04;LM-12;Design;F;675
2020;Laurea Magistrale - dm 270/04;LM-12;Design;M;408
2020;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;F;2448
2020;Laurea Magistrale - dm 270/04;LM-14;Filologia moderna;M;755
2020;Laurea Magistrale - dm 270/04;LM-15;Filologia, letterature e storia dell'antichità;F;492
2020;Laurea Magistrale - dm 270/04;LM-15;Filologia, letterature e storia dell'antichità;M;167
2020;Laurea Magistrale - dm 270/04;LM-16;Finanza;F;318
2020;Laurea Magistrale - dm 270/04;LM-16;Finanza;M;647
2020;Laurea Magistrale - dm 270/04;LM-17;Fisica;F;333
2020;Laurea Magistrale - dm 270/04;LM-17;Fisica;M;861
2020;Laurea Magistrale - dm 270/04;LM-18;Informatica;F;176
2020;Laurea Magistrale - dm 270/04;LM-18;Informatica;M;929
2020;Laurea Magistrale - dm 270/04;LM-19;Informazione e sistemi editoriali;F;469
2020;Laurea Magistrale - dm 270/04;LM-19;Informazione e sistemi editoriali;M;200
2020;Laurea Magistrale - dm 270/04;LM-20;Ingegneria aerospaziale e astronautica;F;158
2020;Laurea Magistrale - dm 270/04;LM-20;Ingegneria aerospaziale e astronautica;M;759
2020;Laurea Magistrale - dm 270/04;LM-21;Ingegneria biomedica;F;851
2020;Laurea Magistrale - dm 270/04;LM-21;Ingegneria biomedica;M;560
2020;Laurea Magistrale - dm 270/04;LM-22;Ingegneria chimica;F;301
2020;Laurea Magistrale - dm 270/04;LM-22;Ingegneria chimica;M;429
2020;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;F;682
2020;Laurea Magistrale - dm 270/04;LM-23;Ingegneria civile;M;1697
2020;Laurea Magistrale - dm 270/04;LM-24;Ingegneria dei sistemi edilizi;F;389
2020;Laurea Magistrale - dm 270/04;LM-24;Ingegneria dei sistemi edilizi;M;482
2020;Laurea Magistrale - dm 270/04;LM-25;Ingegneria dell'automazione;F;95
2020;Laurea Magistrale - dm 270/04;LM-25;Ingegneria dell'automazione;M;578
2020;Laurea Magistrale - dm 270/04;LM-26;Ingegneria della sicurezza;F;97
2020;Laurea Magistrale - dm 270/04;LM-26;Ingegneria della sicurezza;M;400
2020;Laurea Magistrale - dm 270/04;LM-27;Ingegneria delle telecomunicazioni;F;146
2020;Laurea Magistrale - dm 270/04;LM-27;Ingegneria delle telecomunicazioni;M;397
2020;Laurea Magistrale - dm 270/04;LM-28;Ingegneria elettrica;F;83
2020;Laurea Magistrale - dm 270/04;LM-28;Ingegneria elettrica;M;471
2020;Laurea Magistrale - dm 270/04;LM-29;Ingegneria elettronica;F;151
2020;Laurea Magistrale - dm 270/04;LM-29;Ingegneria elettronica;M;743
2020;Laurea Magistrale - dm 270/04;LM-30;Ingegneria energetica e nucleare;F;234
2020;Laurea Magistrale - dm 270/04;LM-30;Ingegneria energetica e nucleare;M;820
2020;Laurea Magistrale - dm 270/04;LM-31;Ingegneria gestionale;F;1277
2020;Laurea Magistrale - dm 270/04;LM-31;Ingegneria gestionale;M;1898
2020;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;F;333
2020;Laurea Magistrale - dm 270/04;LM-32;Ingegneria informatica;M;1780
2020;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;F;423
2020;Laurea Magistrale - dm 270/04;LM-33;Ingegneria meccanica;M;3031
2020;Laurea Magistrale - dm 270/04;LM-34;Ingegneria navale;F;34
2020;Laurea Magistrale - dm 270/04;LM-34;Ingegneria navale;M;100
2020;Laurea Magistrale - dm 270/04;LM-35;Ingegneria per l'ambiente e il territorio;F;422
2020;Laurea Magistrale - dm 270/04;LM-35;Ingegneria per l'ambiente e il territorio;M;535
2020;Laurea Magistrale - dm 270/04;LM-36;Lingue e letterature dell'Africa e dell'Asia;F;218
2020;Laurea Magistrale - dm 270/04;LM-36;Lingue e letterature dell'Africa e dell'Asia;M;68
2020;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;F;2100
2020;Laurea Magistrale - dm 270/04;LM-37;Lingue e letterature moderne europee e americane;M;349
2020;Laurea Magistrale - dm 270/04;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;F;2222
2020;Laurea Magistrale - dm 270/04;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;M;337
2020;Laurea Magistrale - dm 270/04;LM-39;Linguistica;F;498
2020;Laurea Magistrale - dm 270/04;LM-39;Linguistica;M;116
2020;Laurea Magistrale - dm 270/04;LM-40;Matematica;F;528
2020;Laurea Magistrale - dm 270/04;LM-40;Matematica;M;526
2020;Laurea Magistrale - dm 270/04;LM-43;Metodologie informatiche per le discipline umanistiche;F;35
2020;Laurea Magistrale - dm 270/04;LM-43;Metodologie informatiche per le discipline umanistiche;M;25
2020;Laurea Magistrale - dm 270/04;LM-44;Modellistica matematico-fisica per l'ingegneria;F;107
2020;Laurea Magistrale - dm 270/04;LM-44;Modellistica matematico-fisica per l'ingegneria;M;244
2020;Laurea Magistrale - dm 270/04;LM-45;Musicologia e beni musicali;F;85
2020;Laurea Magistrale - dm 270/04;LM-45;Musicologia e beni musicali;M;69
2020;Laurea Magistrale - dm 270/04;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;F;249
2020;Laurea Magistrale - dm 270/04;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;M;630
2020;Laurea Magistrale - dm 270/04;LM-48;Pianificazione territoriale urbanistica e ambientale;F;141
2020;Laurea Magistrale - dm 270/04;LM-48;Pianificazione territoriale urbanistica e ambientale;M;129
2020;Laurea Magistrale - dm 270/04;LM-49;Progettazione e gestione dei sistemi turistici;F;492
2020;Laurea Magistrale - dm 270/04;LM-49;Progettazione e gestione dei sistemi turistici;M;131
2020;Laurea Magistrale - dm 270/04;LM-50;Programmazione e gestione dei servizi educativi;F;608
2020;Laurea Magistrale - dm 270/04;LM-50;Programmazione e gestione dei servizi educativi;M;36
2020;Laurea Magistrale - dm 270/04;LM-51;Psicologia;F;5580
2020;Laurea Magistrale - dm 270/04;LM-51;Psicologia;M;1192
2020;Laurea Magistrale - dm 270/04;LM-52;Relazioni internazionali;F;1399
2020;Laurea Magistrale - dm 270/04;LM-52;Relazioni internazionali;M;822
2020;Laurea Magistrale - dm 270/04;LM-53;Scienza e ingegneria dei materiali;F;170
2020;Laurea Magistrale - dm 270/04;LM-53;Scienza e ingegneria dei materiali;M;372
2020;Laurea Magistrale - dm 270/04;LM-54;Scienze chimiche;F;507
2020;Laurea Magistrale - dm 270/04;LM-54;Scienze chimiche;M;527
2020;Laurea Magistrale - dm 270/04;LM-55;Scienze cognitive;F;84
2020;Laurea Magistrale - dm 270/04;LM-55;Scienze cognitive;M;36
2020;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;F;2051
2020;Laurea Magistrale - dm 270/04;LM-56;Scienze dell'economia;M;2746
2020;Laurea Magistrale - dm 270/04;LM-57;Scienze dell'educazione degli adulti e della formazione continua;F;428
2020;Laurea Magistrale - dm 270/04;LM-57;Scienze dell'educazione degli adulti e della formazione continua;M;57
2020;Laurea Magistrale - dm 270/04;LM-58;Scienze dell'universo;F;25
2020;Laurea Magistrale - dm 270/04;LM-58;Scienze dell'universo;M;59
2020;Laurea Magistrale - dm 270/04;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;F;1182
2020;Laurea Magistrale - dm 270/04;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;M;457
2020;Laurea Magistrale - dm 270/04;LM-60;Scienze della natura;F;137
2020;Laurea Magistrale - dm 270/04;LM-60;Scienze della natura;M;105
2020;Laurea Magistrale - dm 270/04;LM-61;Scienze della nutrizione umana;F;1001
2020;Laurea Magistrale - dm 270/04;LM-61;Scienze della nutrizione umana;M;372
2020;Laurea Magistrale - dm 270/04;LM-62;Scienze della politica;F;521
2020;Laurea Magistrale - dm 270/04;LM-62;Scienze della politica;M;527
2020;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;F;705
2020;Laurea Magistrale - dm 270/04;LM-63;Scienze delle pubbliche amministrazioni;M;517
2020;Laurea Magistrale - dm 270/04;LM-64;Scienze delle religioni;F;10
2020;Laurea Magistrale - dm 270/04;LM-64;Scienze delle religioni;M;8
2020;Laurea Magistrale - dm 270/04;LM-65;Scienze dello spettacolo e produzione multimediale;F;473
2020;Laurea Magistrale - dm 270/04;LM-65;Scienze dello spettacolo e produzione multimediale;M;231
2020;Laurea Magistrale - dm 270/04;LM-66;Sicurezza informatica;F;13
2020;Laurea Magistrale - dm 270/04;LM-66;Sicurezza informatica;M;64
2020;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;F;966
2020;Laurea Magistrale - dm 270/04;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;M;1302
2020;Laurea Magistrale - dm 270/04;LM-68;Scienze e tecniche dello sport;F;221
2020;Laurea Magistrale - dm 270/04;LM-68;Scienze e tecniche dello sport;M;709
2020;Laurea Magistrale - dm 270/04;LM-69;Scienze e tecnologie agrarie;F;320
2020;Laurea Magistrale - dm 270/04;LM-69;Scienze e tecnologie agrarie;M;710
2020;Laurea Magistrale - dm 270/04;LM-70;Scienze e tecnologie alimentari;F;604
2020;Laurea Magistrale - dm 270/04;LM-70;Scienze e tecnologie alimentari;M;432
2020;Laurea Magistrale - dm 270/04;LM-71;Scienze e tecnologie della chimica industriale;F;116
2020;Laurea Magistrale - dm 270/04;LM-71;Scienze e tecnologie della chimica industriale;M;167
2020;Laurea Magistrale - dm 270/04;LM-72;Scienze e tecnologie della navigazione;F;7
2020;Laurea Magistrale - dm 270/04;LM-72;Scienze e tecnologie della navigazione;M;18
2020;Laurea Magistrale - dm 270/04;LM-73;Scienze e tecnologie forestali ed ambientali;F;126
2020;Laurea Magistrale - dm 270/04;LM-73;Scienze e tecnologie forestali ed ambientali;M;171
2020;Laurea Magistrale - dm 270/04;LM-74;Scienze e tecnologie geologiche;F;245
2020;Laurea Magistrale - dm 270/04;LM-74;Scienze e tecnologie geologiche;M;371
2020;Laurea Magistrale - dm 270/04;LM-75;Scienze e tecnologie per l'ambiente e il territorio;F;192
2020;Laurea Magistrale - dm 270/04;LM-75;Scienze e tecnologie per l'ambiente e il territorio;M;186
